  index	           x	       x_err	           y	       y_err	        dist	    dist_err
    198	 91.56614867	  4.00200571	179.75405407	  4.30497973	201.79726589	  2.87956925
    199	 92.00281300	  4.02838121	186.85838277	  1.88324914	208.32193415	  1.52284093
    200	 85.66342948	  3.73172657	190.47327977	  1.58348658	208.87077798	  2.77934784
    201	 91.85570993	  2.36706452	193.21678874	  1.78687938	213.94759278	  2.32859894
    202	 92.60070759	  3.70753636	196.28575000	  2.36505574	217.07014359	  1.69669525
    203	 79.06349129	  4.52579151	200.96998394	  2.49927055	215.99526210	  3.57015293
    204	 68.74902109	  3.42977873	193.10440646	  1.76739519	205.00541081	  1.84615873
    205	 78.65166146	  8.61825368	190.55179025	  2.89556225	206.31283105	  3.70714665
    206	 89.44732237	  2.68512742	195.05835651	  2.14963187	214.60552138	  2.21064374
    207	 90.06859589	  1.77419698	198.59573338	  3.79836021	218.07911330	  3.41949403
    208	 94.88128832	  1.81769913	202.16197327	  4.27668652	223.33224741	  4.02785995
    209	101.62897554	  5.40570310	195.07999192	  1.79127487	220.03110223	  1.84289440
    210	103.42040323	  3.05297493	191.55389073	  4.07365376	217.70090624	  4.57204489
    211	104.81206684	  4.84104225	182.22633765	  1.79565061	210.27218586	  2.06770230
    212	110.87565027	  1.40447685	173.96737666	  2.73203853	206.29998392	  2.79485056
    213	121.37062420	  7.03667321	175.50428619	  3.53296735	213.48197919	  4.47482726
    214	126.73629884	  2.90060528	170.05906931	  1.50793322	212.10723320	  1.83997123
    215	125.82733988	  1.49645819	178.15865869	  3.12113820	218.12860422	  2.21811628
    216	129.37455445	  2.96694843	181.72083147	  1.92333311	223.08033011	  2.81144763
    217	120.27914202	  2.89673172	185.89391609	  4.18932314	221.45749649	  2.47765522
    218	122.14331068	  2.51688612	192.57201142	  2.07677659	228.05126371	  2.49735137
    219	120.68313588	  1.36446101	195.10229469	  3.33954686	229.41581614	  3.27449377
    220	131.28733632	  5.29383552	186.93201185	  1.43796317	228.47170724	  3.27309615
    221	135.87406746	  1.87561265	183.05043222	  2.57136975	227.97778418	  2.34152273
    222	134.31286899	  1.95733801	188.04292075	  5.65519562	231.11928615	  4.44688659
    223	136.77002012	  1.69732668	194.56239563	  3.65542471	237.84117496	  2.89529574
    224	139.10150332	  1.71540136	186.96918963	  2.11020825	233.04134267	  2.41542541
    225	136.35505699	  1.56382879	186.61693652	  1.38427661	231.13023080	  1.32693492
    226	130.28672418	  2.29148197	181.48620267	  3.46150008	223.41470919	  3.86947625
    227	127.68521116	  3.47179892	180.68975911	  2.51491428	221.28206178	  2.22025085
    228	130.19789566	  1.53289615	183.98142244	  2.88398981	225.40189252	  2.30431212
    229	131.66086135	  2.06924802	187.10554891	  3.57874325	228.80716786	  2.72726434
    230	132.74740244	  3.18009302	188.87406785	  4.59672007	230.90384673	  3.15321322
    231	142.62590350	  1.95242067	187.96937329	  2.25973634	235.96582927	  1.91817994
